comment,label
this new series are so funny!!!!!!! 🤣🤣🤣🤣🤣🤣🤣🤣,Supportive
bro why did you stop posting minecraft videos 😢???,Suggestive
all these years later same vibe🥹🥹,Supportive
did anyone realise pewds called svenlina björn at 29:44,Normal
"i 100% agree, and it irritates me when everyone always disagrees with me. it has literally all the elements of a horror game.",Normal
i miss felix playing minecraft,Supportive
23:10 till 23:40 hilarious i was on the floor lmao,Supportive
chicken jockey,Normal
10:58 maybe that's why it took you so long to find sheep. even the babies? brutal. 😊,Sarcastic
dreams said the same thing,Normal
stream sticky situations fka twigs,Normal
watch princess diaries at the same time,Normal
nice .... ❤,Supportive
w video,Supportive
5:30 what r those things💀💀💀,Normal
"11:35 goblin reciting incantation, lol!",Supportive
21:52 ayo dude chill.,Normal
8:28 lmao,Supportive
hate babys? hmmmmm,Sarcastic
good morning gamers in 2024 is crazy,Normal
10:12,Normal
"when i watch pewdiepie videos, i feel 11 years old...",Supportive
what shaders is he using?,Normal
how is bro gonna explain to björn what “sheep cum” is,Sarcastic
based on the thumbnail i thought pewdiepie was finally collabing with felix kjellberg!,Sarcastic
what the sigma,Normal
"i just wanna say, felix, i used to watch your videos every day...",Supportive
we need ulla brita smta fita,Normal
"bro you should have a cocaine arc...",Negative normal
what?! you haven't played-,Normal
the hole jokes🤣,Negative normal
which shader is he using? anyone knows?,Normal
i missed minecraft,Supportive
"hum, does anyone know which brand is the glasses he wear?",Normal
"pewds reminds me how i played minecraft for 1st time...",Supportive
3:47 ayo pause 🤨,Sarcastic
"finally, a minecraft arc from pewdiepie i can be here for❤",Supportive
"just wondering if you could comment on the deephumour drama...",Suggestive
i can not watch you anymore or have you as wallpaper,Negative normal
i can not be yours you left me for nasty women.,Negative personal attack
dont worry about me suddenly. go to your wife rebekkah.,Negative personal attack
"i’m leaning a bit more tambourine gang now a days...",Normal
meme at 17:10 is top tier,Supportive
8:59 субтитры на русском😂,Normal
😂,Supportive
hearing water sheep healed me,Supportive
man i didn't know how much i missed seeing felix play minecraft ❤😂,Supportive
"ahh yes the 460p video quality, some things never change",Sarcastic
cave dweller,Normal
"feels like nostalgia, water ship arc",Supportive
felix coming back to minecraft is the best thing to happen to me in 2024,Supportive
"its really sad, but its so interesting to see a dog...",Normal
se tivesse facha de áudio eu assistia😅 pra português,Suggestive
svenlina op,Supportive
this mans rivalry with minecraft sheep will never not make me laugh 😂,Supportive
"i look forward to the return of ""wota"" sheep",Supportive
he should pay minecraft w horror mods to get even more jumpscared,Suggestive
yandereworshiper69 taking an l as usual,Negative personal attack
which shader is pewds using?,Normal
explore the castle and the water temple,Suggestive
please just make a cow farm 😭😭😭😭,Suggestive
"this is the first videos of his i've watched in about 12 years...",Normal
"thankyou pewds, i think i am in my lowest point...",Supportive
pewds having a bunch of diamonds before a bed,Normal
"""not just the men, but the women. and the children too"" pewdiepie when sheep",Sarcastic
which shader is he using?,Normal
crazy to think this is the same guy who played amnesia...,Supportive
horror games felix: pffttt im so scared minecraft felix...,Sarcastic
"felix: ""this is very dangerous"" svenlina...",Sarcastic
marcia's cake 🥵,Sarcastic
classic pewds cursing in swedish,Supportive
