comment,label
👉 use code veritasium to get 50% off your first monthly kiwico crate! https://www.kiwico.com/veritasium,Normal
"this also explains to me why so many equations are ""=0"". symmetry.",Normal
"if an expanding universe breaks time symmetry and therefore energy can disappear, in a shrinking universe energy can be made out of nothing? or a shrinking universe also breaks symmetry in a way that the conservation of energy is not true? someone can explain this pls😄",Normal
i wonder if light is affected by the non conservative nature of momentum.,Normal
i want to see a real life experiment that proves this... thorium's are not proofs.,Negative normal
"w r o n g ! it does not necessarily eventually stop! it could speed up . . .",Negative normal
which video is the second video?,Normal
"how does the expansion of the universe violate conservation of energy? maybe energy density shall keep decreasing...",Normal
1:49 he later time travelled to future and started youtube channel called vsauce😂,Sarcastic
23:36 biggest rat in history,Negative personal attack
don't 🚙,Normal
"if i have the correct understanding, than the total mass of our universe should be decreasing...",Normal
amazing,Supportive
"@24min noether would teach them all, no matter the student’s’ identity...",Supportive
"now my main concern is what is time? i am soo confused, i definitely don’t belong here.",Normal
14:05 missed opportunity to say “he saw potential in his theory about potentials”,Sarcastic
change of basis was the most cool linear algebra topic next to eigen vectors for harmonic oscillators!,Supportive
that one student a snitch fr,Sarcastic
"there is a correction to be done at 13:02. the new lagrangian l' = l + partial l / partial t * epsilon...",Normal
get in touch with solidblock forensics if you want to recoup your lost digital assets...,Negative normal
"i like physics.i am an engineer/scientist...",Normal
"9.81 not 9.8, 9.8 is for amateurs. either 9.81 or 9.82, i chose 9.81. 😊",Sarcastic
- - x.e. anomaly is coming...... -,Normal
- - x.e. anomaly is coming...... -,Normal
- - x.e. anomaly is coming...... -,Normal
- - x.e. anomaly is coming...... -,Normal
- - x.e. anomaly is coming...... -,Normal
"this further supports my hypothesis that the universe is not expanding. instead, time is contracting.",Normal
2:53 mad cyberpunk 2077 vibes,Normal
energy is added at discrete time steps to the universe? like a big string of firecrackers.,Normal
this feels wrong. i know it's right. but still feel so wrong.,Normal
surely the biggest misconception in physics is that mirrors work by reflecting light......they cant.,Normal
25:49 where is the 2nd video,Normal
i think that energy is conserved in the expansion of space.,Normal
"so, if time symmetries exist in the short term but not over longer periods...",Normal
"but of course the rock comes to a rest in ""our universe,"" because empty space is not empty!!",Negative normal
"i only noticed that when that astronaut was throwing a ball...",Normal
bb pehly university road tu sanbhallay phir civil war bhe lad layna😅😅😅😂😂,Sarcastic
"it is impossible to prove an event in the future...",Normal
i missed all of this (symmetry) at school...,Supportive
"i figured out the reason that scientists believe in the impossibility that the universal expansion is accelerating.",Negative normal
"hilarious! an emmy nomination for sure! and the ""no ether"" gag is sensational!",Sarcastic
"energy is conserved in the context of simple harmonic motion and fluctuation theory...",Normal
"in an expanding universe, freely propagating energy (such as that of photons)...",Normal
"""i can calculate the motions of heavenly bodies, but not the madness of people"" this gotta be one of the hardest quotes.",Supportive
"as usual, outstanding!",Supportive
"energy ""is"" conserved through out time and space.. i'll soon prove it..",Suggestive
nice,Supportive
"p = e/t, e=mc², m=e/c², reality = [(mc²×tetha)/(t×1wat)]...",Normal
"they rotated an equilateral triangle 360 degrees and claimed, 'that action' captured a symmetry...",Negative normal
"ok, what does space do? and saying that, what do emfs do in the space 🤔? peace ✌️ 😎.",Normal
very good :),Supportive
24:01 it says she was an idiot.,Negative personal attack
"since a stone possesses its own physical body, couldn't it eventually incorporate the kinetic energy...",Normal
where is the second video tho,Normal
"if you're saying that the universe is not symmetric because the universe was smaller than it is today...",Normal
"couldn't you have explained this in greater detail, instead of just glossing over things.",Negative normal
"the real reason the asteroid stops: due to a setzo wind...",Sarcastic
craziest thing is that the admission of women into college absolutely overthrew academic order...,Negative political
"this is clickbait. derek knows better...",Negative normal
academic order was indeed overthrown. look at the universities today 😂,Sarcastic
albert einstein vs isaac newton,Normal
"12:34 absolutely love the math demo, pls have more math in future videos!",Supportive
someone get this guy a dji pocket or a cameraman lol @dji,Sarcastic
"falling ""down"" on earth, is not the same as accellerating through space at 9.8m/s ...",Negative normal
if energy and momentum are not conserved then things would speed up as often as they slow down...,Negative normal
do you guys have online courses?,Normal
23:00 go out on a limb lol,Normal
is part 2 out?,Normal
so the symmerty of the universe hold up all forces that been created ? 11:42,Normal
"the ""expansion of our visible light universe is an optical illusion...",Negative normal
"no...you can only say that in our visible light universe...",Normal
"it's not conserved, it seeks equilibrium. energy gets created and used up.",Negative normal
"it's not conserved, it seeks equilibrium. energy gets created and used up.",Negative normal
"what does it mean that the rock thrown into space comes to ""rest?"" rest with respect to what frame of reference?",Normal
you have a gift for explaining things clearly!,Supportive
"clickbait title - paid comments...",Negative normal
why would the rock stop travelling in space...,Negative normal
"okay, so where does time come from? the leaking energy?",Normal
she should have got a nobel prize.,Supportive
"это лучшее видео про коммуникацию, которое когда-либо публиковали на youtube",Supportive
to think this is just one of very few women who were able to teach...,Supportive
"question, why do these ""equations"" seem to always equal to zero?",Normal
i finally don't understand something new.,Sarcastic
"nope, not buying it. i think that we have not looked hard enough...",Negative normal
"0:18 so, aristotle was right😅",Sarcastic
"the rock would stop in relation to what? the earth? its origin on our blue planet?",Normal
omg i was in einsteins house! i shat in his toilet!,Negative normal
"if you are going to narrate science videos, please learn how to properly pronounce german names...",Negative normal
nggedubrus semua badut badut sain bermunculan,Negative normal
erlangen — air-long-n more or less.,Normal
"i have always enjoyed science. this lecture is just so far over my head...",Negative normal
saying... 'energy is not conserverd but anything is conserverd' is a diabolical way of thinking...,Negative normal
does conservation of sanity exist in politics?,Sarcastic
no wonder thermodynamic laws seemed like static voodoo,Normal
the big bang is a fraud. look up nasseim herriman's work...,Negative normal
one of your better videos. it came together just when i was almost not able to wrap my head around it.,Supportive
nice,Supportive
i so love this channel... but have to admit.... it makes my brain hurt......,Supportive
"higher education: what good would it do to let a woman into college...",Sarcastic
erlangen is pronounced ehr-lung-uhn.,Normal
maybe it slows down because space is expanding...,Sarcastic
"""thank you, veritasium, for this incredible tribute to emmy noether! 🌟""",Supportive
"""thank you, veritasium, for this incredible tribute to emmy noether! 🌟""",Supportive
"17:20 stretching a photon doesn't make it lose energy...",Negative normal
"🥴very complicated for me to understand, especially that guy with all the math he did,",Normal
space isn’t as empty as this thumbnail would suggest.,Normal
if anyone's here ... i am quite a beginner in astrophysics...,Normal
"love it! was i the only one who had to replay this video three times...",Supportive
"at 17:40 you say: ""the energy doesn't really go anywhere; it just disappears."" 🤯",Negative normal
how do we know the laws of physics won't change tomorrow?,Normal
i love how stupid i'm!,Sarcastic
"so. hypothetically... what happens to alllllll this math...",Normal
doesn't this imply that energy is being transformed into space as well???,Normal
energy is not conserved...get out of here..you don't get the law...,Negative normal
"energy is conserved when it applies. the conservation of energy is one of the most important concepts...",Negative normal
"you can rotate the triangle by flipping it, in three ways, which also works.",Suggestive
"so the voyagers that are escaping the solar system will eventually just stop?",Normal
thank the higgs boson.,Normal
but isn't the curvature is caused by some mass but in an empty universe...,Normal
what percent of humans on the planet right now can even understand half of this mathematics?,Normal
you knew exactly what you were doing and you know what i'm talking about,Negative personal attack
"our section of the universe is symmetrical, because if it wasnt we could exist...",Normal
"ok so i have a question. it was stated about the symmetry of time...",Normal
"very beautiful explanation, but... what makes spacetime expand at ever increasing rates...",Negative normal
so eventually all satellites will eventually crash back into earth?,Normal
sex in the city gay guy became a physicist?,Sarcastic
"i don't know where this is going, but i've thought about this before...",Normal
"what about magnetism and time reversal symmetry, isn't it the former is the result of the latter?",Normal
"is this for real? will it stop no matter if no action is exercised on it?",Negative normal
i woke up with a vector,Normal
drop simetrico,Normal
"don't yet understand why the decrease in speed of the thrown object contradicts conservation of energy.",Normal
"🎯 key points for quick navigation: 00:00 *a rock thrown in deep space would not keep moving forever...",Normal
most of the comments are complaining of non comperhend subject me too...,Negative normal
"i cant say yup or nop,!! today i, m feeling being lost in between the physics...",Negative normal
she figured out the origin of all mass? i don't think so! nice try sneaking that in. 😂,Sarcastic
"the rock that is thrown in space, when that space is not empty...",Normal
