comment,label
this songs give me in morning power,Supportive
your explanation is worth sharing it helped me understand better,Supportive
anyone today on 1st february?,Normal
255m views 🎉❤,Supportive
❤❤❤❤❤❤🎉🎉🎉🎉😂😂😂❤❤❤❤❤,Supportive
the editing is clear and easy to follow it made my day better,Supportive
"brava, taylor",Supportive
the editing is clear and easy to follow this deserves recognition,Supportive
anybody 01st feb 2026? ❤,Normal
this video is top notch it deserves more views,Supportive
this performance is well made i enjoyed every second of it,Supportive
please do the lush life trend,Suggestive
"if youtube allowed me to do so, i would press the like button a million times.",Supportive
this performance is exactly what i needed it helped me understand better,Supportive
this channel is well made i enjoyed every second of it,Supportive
your explanation is outstanding it made my day better,Supportive
the idea is clear and easy to follow i really appreciate the effort,Supportive
the content is amazing i learned a lot from it,Supportive
this video is really helpful it deserves more views,Supportive
the content is amazing i will come back to watch it again,Supportive
alguém do brasil em 31 de janeiro?😅,Normal
gives adele vibes ❤❤❤,Supportive
▶,Normal
this channel is amazing i enjoyed every second of it,Supportive
its still january in cortez co,Normal
who’s listening on february 1st?,Normal
this hit hard,Supportive
2สาม3คนแล้วก็ไปforce,Normal
"""the fate of ophelia"" has a really distinct melody that immediately _hooks_ you into the song. no wonder why it became a billboard hot 100 #1 for many weeks.",Supportive
travis kelce=tay we need want baby tay soon,Suggestive
anyone listening today in february 2026??😢,Normal
love you 💜🌸🦋,Supportive
your explanation is worth sharing i will come back to watch it again,Supportive
i think she’s perfect here,Supportive
"anyone february the 1th, 2rd or 3st",Normal
the content is amazing i will come back to watch it again,Supportive
this channel is underrated i will definitely recommend this,Supportive
this channel is outstanding i really appreciate the effort,Supportive
vamos por esos 500 millones swifties a reproducirlo con todo!!!,Suggestive
this tutorial is underrated i really appreciate the effort,Supportive
anoye 1th of february?,Normal
who's in 2026? (late),Normal
the idea is outstanding i learned a lot from it,Supportive
the production quality is clear and easy to follow i really appreciate the effort,Supportive
vibes 2026,Normal
"here 1 february 2026 ! forever young !❤🎉❤ 70 years , yesterday 31 january 2026 !❤❤🎉❤🎉",Supportive
your explanation is top notch i will definitely recommend this,Supportive
the content is really helpful i enjoyed every second of it,Supportive
this performance is really helpful it deserves more views,Supportive
gives bridgerton vibes,Supportive
this channel is exactly what i needed it made my day better,Supportive
1 de febrero 💕,Normal
anyone 1th of february?,Normal
i lover ❤❤❤,Supportive
i love taylor swift,Supportive
un po di figa❤❤,Negative misogynistic
https://youtube.com/@youyou_14-g5f?si=baf_g1dezlcp-4ax,Normal
nice song,Supportive
"what song plays at the beginning, clocks right?",Suggestive
yes i was finally watching it live,Normal
the editing is clear and easy to follow it made my day better,Supportive
the editing is amazing it made my day better,Supportive
❤❤❤❤❤❤❤❤,Supportive
get the best out there,Supportive
❤❤❤❤❤❤❤,Supportive
the music in the beginning is very similar to the song the wolf for sia,Suggestive
the editing is very impressive it deserves more views,Supportive
anyone here today? 🖐🏾,Normal
the way you present is underrated this deserves recognition,Supportive
who's here in 2036😅😅,Normal
31 january time:19:41,Normal
most hated singer ever,Negative personal attack
🎉🎉🎉🎉🎉,Supportive
music video doesn't suits the song melancholic energy,Negative normal
who is here before 300 mill😂,Normal
the content is really helpful it helped me understand better,Supportive
está canción es mí favorito de taylor swift 🤩,Supportive
who’s here on february,Normal
love the sourdough .,Normal
anyone 1st of february?,Normal
let's hit 300m for taytay...!! ❤❤❤,Supportive
"guitarplayer asks: would little taylor from 2008 like the fate of ophelia? ...",Supportive
the content is well made i will definitely recommend this,Supportive
this video is underrated it deserves more views,Supportive
"it starts with ""she wolf"" by sia ....nice try",Sarcastic
"it starts with ""she wolf"" by sia ....nice try",Sarcastic
love u taylor,Supportive
this channel is amazing it made my day better,Supportive
not ok,Negative normal
your explanation is underrated i really appreciate the effort,Supportive
hello taylor,Normal
the content is very impressive this deserves recognition,Supportive
the content is amazing i learned a lot from it,Supportive
i lov taylor songd❤❤,Supportive
this video is really helpful i really appreciate the effort,Supportive
my daughter loves taylor swift like she’s a swifie,Supportive
"ojalá tus predicciones se cumplan...",Negative political
monkeys remigration,Negative normal
i don't like taylor swift but this song.. i don't like in particular.,Negative normal
w jachta,Normal
i loves this song,Supportive
"when i was in gym class, this song started😂😂😂😂😂😂😂",Normal
anyone 1 feb 26 ?,Normal
if i get a thousand like....ill do an i phone 17 giveaway 🎉,Normal
im big fan of you taylor swift i love the dance moves to love kailey,Supportive
😍🇧🇷♥️,Supportive
anyone 1 of february????🫠♾️🤍🤌🏻,Normal
let's go with 300m❤,Supportive
you belong love story never ever than this,Supportive
it remembers lana del rey...isn't ?? but the song it's super nice 🎉,Supportive
i never thought i'd enjoy a song made by taylor swift expect the unexpected,Supportive
another swedish hit 👍,Supportive
sorry but i dont like it,Negative normal
anime lover folow me plz 😢,Normal
2027 anyone ??,Normal
narsaasssis.....,Negative personal attack
why,Normal
"first time in my 60s i ever listened to taylor swift...",Supportive
❤❤❤❤ m'a musique préférée,Supportive
4:33,Normal
wow love you,Supportive
the unbeatable swift ❤ #lovefromindore❤,Supportive
🔥🔥🔥 hardest sht round here! 615 in the house,Supportive
❤,Supportive
rombongan 1 februari mana nih 😮😮,Normal
só quem acha q em português é melhor👇,Normal
i like this 😊🎉🎉❤❤so much more fun,Supportive
hhhhjbjbjhv😢😢😢😢😢yhyhhuhh8uhhhy,Normal
wow esta increíble,Supportive
❤❤❤❤❤,Supportive
"taylor swift is the most consistent artist today...",Supportive
❤❤,Supportive
anyone feb 1st?,Normal
o my,Normal
anyone 1st february here??,Normal
i love that she has the “starbucks mermaids” represented...,Supportive
minha filha ama a taylor,Supportive
beautiful music ❤,Supportive
the best ever...,Supportive
suka aja ni lagu,Supportive
❤❤❤❤❤❤❤❤❤❤❤, Supportive
❤❤❤❤❤❤❤, Supportive
❤❤, Supportive
wow 🤩 ❤❤❤,Supportive
"254m viewers????,",Normal
so pretty (),Supportive
masterpiece,Supportive
"so this about blake, right?... ",Sarcastic
did anyone see vitiligo backup dancer...,Supportive
absolutely incredible!,Supportive
"классный музон...",Supportive
anyone on 14th feb ❤😊,Normal
"taylor is hot but as a brunette...",Negative misogynistic
kerennya,Supportive
❤,Supportive
she is 😇.,Supportive
wish my birthday plss - 24 y/o,Normal
la canción junto al video son pura perfección ❤🎉,Supportive
keep streaming let's reach 300m,Supportive
this song is everyone's favourite ❤,Supportive
❤,Supportive
254m views 🎉❤,Supportive
❤❤❤❤❤❤❤❤,Supportive
my girlfriend saili loves this song,Supportive
taylor is coding you through one of the lyrical bags in this song,Normal
bring me back to her love story...,Supportive
❤❤,Supportive
"эта волшебная магия тэйлор свифт...",Supportive
yes,Normal
at 2:55 tus e bonito miga,Supportive
so beautiful taylor ❤,Supportive
i love the fact that i predicted...,Normal
on 31st,Normal
me at night,Normal
my mum loves vi's song ❤❤❤❤,Supportive
i am not a swiftie but this song is 🔥,Supportive
hope we can spend plenty of time together,Normal
you know how amazing you are...,Supportive
by the way i love your album,Supportive
i still crying 😭😭😭😭😭,Supportive
"sorry typo i a, trying",Normal
yes,Normal
but i'm am trying,Normal
i don't know if this is working,Normal
i'm not going anywhere i need your love,Supportive
you make me genuinely happy,Supportive
hi beautiful i love you,Supportive
sountrack sounds similar to indian track...,Normal
"haunting, tragic, feminine...",Supportive
có thể là hay đến xỉu luôn ~~~,Supportive
show de mais essa música ❤🎉,Supportive
eu taylor for ever❤,Supportive
anyone 1th of february??,Normal
how could someone be so perfect,Supportive
31/01/26 anyone?,Normal
not a swiftie but this song scratches my brain everyday🫤,Supportive
amyone 31th. of january ❤❤,Normal
anyone 31th of january?,Normal
achmad nawawi😀,Normal
slayy mother anyone who doesnt mess with taylor...,Supportive
why nobody attahced the lyric?,Suggestive
we love this song!,Supportive
who is listening today ?,Normal
taylor swift is a narcissist piece of garbage...,Negative personal attack
anyone in january last day vs february past day? 😒,Normal
31st jan ❤,Normal
wkwkwk ampel apal dance nya...,Normal
give me lyric,Suggestive
i love this video,Supportive
every time someone like my comment...,Normal
anyone 31th of januay🎉❤🎉😊have a beautiful day,Normal
great song and i'm not a fan of her. 😌🙌🏾,Supportive
"haven't liked a taylor swift song this much...",Supportive
anyone 31th of january??,Normal
"“bent” nesse contexto...",Normal
